,Date,volume
1015,2011/10/15,5445
1016,2011/10/16,4862
1017,2011/10/17,5663
1018,2011/10/18,4743
1019,2011/10/19,4997
1020,2011/10/20,4534
1021,2011/10/21,5085
1022,2011/10/22,5016
1023,2011/10/23,5500
1024,2011/10/24,5807
1025,2011/10/25,5097
1026,2011/10/26,5155
1027,2011/10/27,4577
1028,2011/10/28,5013
1029,2011/10/29,5483
1030,2011/10/30,4869
1031,2011/10/31,5051
1032,2011/11/01,5627
1033,2011/11/02,5837
1034,2011/11/03,6128
1035,2011/11/04,6393
1036,2011/11/05,5782
1037,2011/11/06,4890
1038,2011/11/07,5364
1039,2011/11/08,5845
1040,2011/11/09,6287
1041,2011/11/10,6400
1042,2011/11/11,4974
1043,2011/11/12,4984
1044,2011/11/13,5230
1045,2011/11/14,5765
1046,2011/11/15,5941
1047,2011/11/16,5913
1048,2011/11/17,4820
1049,2011/11/18,5036
1050,2011/11/19,4601
1051,2011/11/20,4982
1052,2011/11/21,4652
1053,2011/11/22,5351
1054,2011/11/23,5464
1055,2011/11/24,4905
1056,2011/11/25,5351
1057,2011/11/26,4632
1058,2011/11/27,4947
1059,2011/11/28,5803
1060,2011/11/29,6276
1061,2011/11/30,6695
1062,2011/12/01,6170
1063,2011/12/02,6172
1064,2011/12/03,5479
1065,2011/12/04,5249
1066,2011/12/05,6079
1067,2011/12/06,7807
1068,2011/12/07,5997
1069,2011/12/08,5656
1070,2011/12/09,5441
1071,2011/12/10,5534
1072,2011/12/11,5109
1073,2011/12/12,4735
1074,2011/12/13,5274
1075,2011/12/14,5539
1076,2011/12/15,4738
1077,2011/12/16,5046
1078,2011/12/17,4843
1079,2011/12/18,4488
1080,2011/12/19,5685
1081,2011/12/20,6161
1082,2011/12/21,5428
1083,2011/12/22,5711
1084,2011/12/23,5540
1085,2011/12/24,4513
1086,2011/12/25,5112
1087,2011/12/26,5464
1088,2011/12/27,5066
1089,2011/12/28,4845
1090,2011/12/29,5074
1091,2011/12/30,4909
1092,2011/12/31,4986
1093,2012/01/01,4848
1094,2012/01/02,5259
1095,2012/01/03,5614
1096,2012/01/04,5582
1097,2012/01/05,6847
1098,2012/01/06,6473
1099,2012/01/07,5721
1100,2012/01/08,6241
1101,2012/01/09,5948
1102,2012/01/10,6536
1103,2012/01/11,6986
1104,2012/01/12,6541
1105,2012/01/13,6707
1106,2012/01/14,6657
1107,2012/01/15,6173
1108,2012/01/16,6799
1109,2012/01/17,6595
1110,2012/01/18,6519
1111,2012/01/19,6752
1112,2012/01/20,6635
1113,2012/01/21,6202
1114,2012/01/22,5189
1115,2012/01/23,5930
1116,2012/01/24,7129
1117,2012/01/25,7813
1118,2012/01/26,6460
1119,2012/01/27,6196
1120,2012/01/28,5765
1121,2012/01/29,6259
1122,2012/01/30,5981
1123,2012/01/31,6775
1124,2012/02/01,6361
1125,2012/02/02,7005
1126,2012/02/03,6892
